trial_id,oversampling_method,oversampling_threshold,undersampling_method,undersampling_threshold,value,state,start_time,complete_time,total_time
1,smote,0.25,instancehardness,0.0625,0.9827084770973811,COMPLETE,2024-04-11 21:50:12.851426,2024-04-11 21:51:30.234146,77.38272
2,adasyn,1,onesidedselection,0.5,-1.0,ERROR,2024-04-11 21:51:30.272674,2024-04-11 21:51:30.437152,0.164478
3,tvae,2,editednn,0.0625,0.6169125210949671,COMPLETE,2024-04-11 21:51:30.472052,2024-04-11 21:54:59.088673,208.616621
4,gaussiancopula,2,clustercentroid,0.5,1.0,COMPLETE,2024-04-11 21:54:59.120878,2024-04-11 21:55:41.831836,42.710958
5,random,0.25,nearmiss,0.25,0.9975932405321575,COMPLETE,2024-04-11 21:55:41.860933,2024-04-11 21:56:13.373393,31.51246
6,fastml,2,tomeklinks,auto,1.0,COMPLETE,2024-04-11 21:56:13.387249,2024-04-11 21:57:05.679798,52.292549
7,smote,0,condensednn,0.0625,1.0,COMPLETE,2024-04-11 21:57:05.709789,2024-04-11 21:57:26.376812,20.667023
8,ctgan,0,instancehardness,0,-1.0,ERROR,,,0.0
9,adasyn,0.5,nearmiss,0.25,-1.0,ERROR,2024-04-11 22:01:27.510492,2024-04-11 22:01:27.956954,0.446462
10,gaussiancopula,2,onesidedselection,0.25,1.0,COMPLETE,2024-04-11 22:01:27.973257,2024-04-11 22:02:27.779929,59.806672
11,fastml,auto,nearmiss,auto,1.0,COMPLETE,2024-04-11 22:02:27.804538,2024-04-11 22:03:44.548513,76.743975
12,random,0,random,0.125,0.9975932405321575,COMPLETE,2024-04-11 22:03:44.579667,2024-04-11 22:04:28.924647,44.34498
13,tvae,0,clustercentroid,0,-1.0,ERROR,,,0.0
14,tvae,0.5,clustercentroid,0,0.9976779254021656,COMPLETE,2024-04-11 22:05:16.022617,2024-04-11 22:06:43.813658,87.791041
15,adasyn,0.25,instancehardness,0.5,-1.0,ERROR,2024-04-11 22:06:43.829025,2024-04-11 22:06:43.887027,0.058002
16,ctgan,0.25,clustercentroid,0.125,1.0,COMPLETE,2024-04-11 22:06:43.901652,2024-04-11 22:07:54.633003,70.731351
17,adasyn,0.25,tomeklinks,0.25,-1.0,ERROR,2024-04-11 22:07:54.686792,2024-04-11 22:07:54.842550,0.155758
18,copulagan,2,nearmiss,0,1.0,COMPLETE,2024-04-11 22:07:54.878463,2024-04-11 22:22:40.327886,885.449423
19,adasyn,auto,onesidedselection,0.5,-1.0,ERROR,2024-04-11 22:22:40.355048,2024-04-11 22:22:40.564544,0.209496
20,random,0.5,clustercentroid,0.25,0.9831431755240869,COMPLETE,2024-04-11 22:22:40.592734,2024-04-11 22:24:11.976676,91.383942
21,ctgan,2,random,0.0625,0.9976779254021656,COMPLETE,2024-04-11 22:24:12.013291,2024-04-11 22:25:01.794874,49.781583
22,adasyn,2,onesidedselection,0.125,-1.0,ERROR,2024-04-11 22:25:01.808837,2024-04-11 22:25:01.865994,0.057157
23,copulagan,auto,instancehardness,0,1.0,COMPLETE,2024-04-11 22:25:01.879257,2024-04-11 22:25:42.640076,40.760819
24,smote,0.5,instancehardness,0.0625,0.990496628647092,COMPLETE,2024-04-11 22:25:42.668275,2024-04-11 22:26:11.430754,28.762479
